waktu;Bawang_Putih_Ukuran_Sedang
01/2017;34400
02/2017;34900
03/2017;33950
04/2017;48350
05/2017;57600
06/2017;67450
07/2017;48100
08/2017;31700
09/2017;24600
10/2017;21550
11/2017;23000
12/2017;21700
01/2018;21900
02/2018;35100
03/2018;46450
04/2018;34150
05/2018;24150
06/2018;24800
07/2018;22800
08/2018;23000
09/2018;25150
10/2018;24350
11/2018;21950
12/2018;23200
01/2019;25750
02/2019;32300
03/2019;41800
04/2019;51200
05/2019;42600
06/2019;35450
07/2019;33050
08/2019;30450
09/2019;29900
10/2019;29700
11/2019;29800
