waktu;Cabai_Rawit_Merah
Jan 2017 (I);87500
Jan 2017 (II);82000
Jan 2017 (III);93500
Jan 2017 (IV);96000
Jan 2017 (V);105000
Feb 2017 (I);114000
Feb 2017 (II);105500
Feb 2017 (III);117500
Feb 2017 (IV);115000
Mar 2017 (I);113000
Mar 2017 (II);81500
Mar 2017 (III);59500
Mar 2017 (IV);58150
Apr 2017 (I);47000
Apr 2017 (II);45900
Apr 2017 (III);48000
Apr 2017 (IV);45000
Mei 2017 (I);51250
Mei 2017 (II);54650
Mei 2017 (III);45500
Mei 2017 (IV);46250
Mei 2017 (V);40000
Jun 2017 (I);28000
Jun 2017 (II);26100
Jun 2017 (III);31650
Jun 2017 (IV);26225
Jul 2017 (I);20800
Jul 2017 (II);28000
Jul 2017 (III);35700
Jul 2017 (IV);27000
Jul 2017 (V);24200
Agu 2017 (I);18800
Agu 2017 (II);15250
Agu 2017 (III);13500
Agu 2017 (IV);9250
Sep 2017 (I);9800
Sep 2017 (II);11100
Sep 2017 (III);10150
Sep 2017 (IV);8800
Okt 2017 (I);10100
Okt 2017 (II);10000
Okt 2017 (III);11300
Okt 2017 (IV);15300
Okt 2017 (V);14100
Nov 2017 (I);18800
Nov 2017 (II);21200
Nov 2017 (III);18000
Nov 2017 (IV);18400
Des 2017 (I);18500
Des 2017 (II);18700
Des 2017 (III);33600
Des 2017 (IV);40650
Jan 2018 (I);44150
Jan 2018 (II);47400
Jan 2018 (III);44500
Jan 2018 (IV);35700
Jan 2018 (V);35700
Feb 2018 (I);38100
Feb 2018 (II);44900
Feb 2018 (III);49500
Feb 2018 (IV);52500
Mar 2018 (I);54800
Mar 2018 (II);54800
Mar 2018 (III);43000
Mar 2018 (IV);36150
Apr 2018 (I);34400
Apr 2018 (II);33100
Apr 2018 (III);29000
Apr 2018 (IV);23000
Apr 2018 (V);22500
Mei 2018 (I);22500
Mei 2018 (II);22400
Mei 2018 (III);21800
Mei 2018 (IV);20350
Jun 2018 (I);25200
Jun 2018 (II);34150
Jun 2018 (III);28250
Jun 2018 (IV);28750
Jul 2018 (I);45500
Jul 2018 (II);44000
Jul 2018 (III);43300
Jul 2018 (IV);39600
Jul 2018 (V);34200
Agu 2018 (I);27500
Agu 2018 (II);26650
Agu 2018 (III);20000
Agu 2018 (IV);16100
Sep 2018 (I);15200
Sep 2018 (II);17900
Sep 2018 (III);15600
Sep 2018 (IV);17600
Okt 2018 (I);22700
Okt 2018 (II);25000
Okt 2018 (III);28500
Okt 2018 (IV);29500
Okt 2018 (V);25900
Nov 2018 (I);27500
Nov 2018 (II);26200
Nov 2018 (III);20250
Nov 2018 (IV);19400
Des 2018 (I);23800
Des 2018 (II);24600
Des 2018 (III);34900
Des 2018 (IV);48400
Des 2018 (V);37500
Jan 2019 (I);28700
Jan 2019 (II);28500
Jan 2019 (III);24500
Jan 2019 (IV);20000
Feb 2019 (I);19000
Feb 2019 (II);18400
Feb 2019 (III);21200
Feb 2019 (IV);21600
Mar 2019 (I);23500
Mar 2019 (II);22800
Mar 2019 (III);19100
Mar 2019 (IV);20000
Apr 2019 (I);17500
Apr 2019 (II);15500
Apr 2019 (III);18500
Apr 2019 (IV);24900
Apr 2019 (V);22500
Mei 2019 (I);28700
Mei 2019 (II);18150
Mei 2019 (III);19400
Mei 2019 (IV);20000
Jun 2019 (I);30000
Jun 2019 (II);19600
Jun 2019 (III);21700
Jun 2019 (IV);29400
Jul 2019 (I);47000
Jul 2019 (II);54500
Jul 2019 (III);65500
Jul 2019 (IV);66000
Jul 2019 (V);75000
Agu 2019 (I);76000
Agu 2019 (II);72500
Agu 2019 (III);70000
Agu 2019 (IV);59500
Sep 2019 (I);62000
Sep 2019 (II);55500
Sep 2019 (III);45000
Sep 2019 (IV);38750
Sep 2019 (V);40900
Okt 2019 (I);43500
Okt 2019 (II);32200
Okt 2019 (III);30400
Okt 2019 (IV);32000
Nov 2019 (I);33150
