waktu;Daging_Ayam_Ras_Segar
Jan 2017 (I);31650
Jan 2017 (II);31400
Jan 2017 (III);31200
Jan 2017 (IV);31700
Jan 2017 (V);30600
Feb 2017 (I);29700
Feb 2017 (II);29100
Feb 2017 (III);29300
Feb 2017 (IV);28800
Mar 2017 (I);29000
Mar 2017 (II);30000
Mar 2017 (III);29600
Mar 2017 (IV);29650
Apr 2017 (I);29500
Apr 2017 (II);30400
Apr 2017 (III);29900
Apr 2017 (IV);30400
Mei 2017 (I);30000
Mei 2017 (II);30500
Mei 2017 (III);31400
Mei 2017 (IV);32000
Mei 2017 (V);32000
Jun 2017 (I);32000
Jun 2017 (II);32000
Jun 2017 (III);33150
Jun 2017 (IV);34375
Jul 2017 (I);35600
Jul 2017 (II);31500
Jul 2017 (III);31200
Jul 2017 (IV);30500
Jul 2017 (V);31800
Agu 2017 (I);32500
Agu 2017 (II);32000
Agu 2017 (III);32000
Agu 2017 (IV);31250
Sep 2017 (I);30800
Sep 2017 (II);30100
Sep 2017 (III);30400
Sep 2017 (IV);30000
Okt 2017 (I);30000
Okt 2017 (II);30000
Okt 2017 (III);30000
Okt 2017 (IV);30000
Okt 2017 (V);30000
Nov 2017 (I);30000
Nov 2017 (II);30100
Nov 2017 (III);31000
Nov 2017 (IV);30250
Des 2017 (I);30800
Des 2017 (II);32200
Des 2017 (III);32700
Des 2017 (IV);34000
Jan 2018 (I);34850
Jan 2018 (II);35200
Jan 2018 (III);35000
Jan 2018 (IV);34200
Jan 2018 (V);32700
Feb 2018 (I);33300
Feb 2018 (II);33500
Feb 2018 (III);32000
Feb 2018 (IV);31500
Mar 2018 (I);31500
Mar 2018 (II);32300
Mar 2018 (III);32100
Mar 2018 (IV);32250
Apr 2018 (I);32500
Apr 2018 (II);32200
Apr 2018 (III);32400
Apr 2018 (IV);32500
Apr 2018 (V);32500
Mei 2018 (I);32500
Mei 2018 (II);34300
Mei 2018 (III);34500
Mei 2018 (IV);34850
Jun 2018 (I);35000
Jun 2018 (II);39150
Jun 2018 (III);42400
Jun 2018 (IV);37250
Jul 2018 (I);34800
Jul 2018 (II);36500
Jul 2018 (III);37400
Jul 2018 (IV);43200
Jul 2018 (V);39100
Agu 2018 (I);35600
Agu 2018 (II);35500
Agu 2018 (III);34250
Agu 2018 (IV);34000
Sep 2018 (I);33000
Sep 2018 (II);33000
Sep 2018 (III);32400
Sep 2018 (IV);31000
Okt 2018 (I);31100
Okt 2018 (II);33000
Okt 2018 (III);33000
Okt 2018 (IV);33000
Okt 2018 (V);33000
Nov 2018 (I);32500
Nov 2018 (II);32500
Nov 2018 (III);32500
Nov 2018 (IV);32600
Des 2018 (I);33400
Des 2018 (II);33500
Des 2018 (III);34800
Des 2018 (IV);38500
Des 2018 (V);38150
Jan 2019 (I);35000
Jan 2019 (II);33700
Jan 2019 (III);33800
Jan 2019 (IV);32900
Feb 2019 (I);32500
Feb 2019 (II);32100
Feb 2019 (III);32000
Feb 2019 (IV);32000
Mar 2019 (I);31650
Mar 2019 (II);31500
Mar 2019 (III);31500
Mar 2019 (IV);31000
Apr 2019 (I);31000
Apr 2019 (II);31600
Apr 2019 (III);32150
Apr 2019 (IV);32700
Apr 2019 (V);33250
Mei 2019 (I);34100
Mei 2019 (II);32750
Mei 2019 (III);33100
Mei 2019 (IV);34500
Jun 2019 (I);37750
Jun 2019 (II);34700
Jun 2019 (III);32600
Jun 2019 (IV);31000
Jul 2019 (I);32100
Jul 2019 (II);33700
Jul 2019 (III);35500
Jul 2019 (IV);35100
Jul 2019 (V);34300
Agu 2019 (I);34200
Agu 2019 (II);34400
Agu 2019 (III);33600
Agu 2019 (IV);33400
Sep 2019 (I);31000
Sep 2019 (II);31800
Sep 2019 (III);32900
Sep 2019 (IV);32250
Sep 2019 (V);32500
Okt 2019 (I);32600
Okt 2019 (II);33500
Okt 2019 (III);34000
Okt 2019 (IV);34000
Nov 2019 (I);35000
