waktu;Minyak_Goreng_Curah
Jan 2017 (I);11250
Jan 2017 (II);11250
Jan 2017 (III);11250
Jan 2017 (IV);11250
Jan 2017 (V);11250
Feb 2017 (I);11700
Feb 2017 (II);13000
Feb 2017 (III);12550
Feb 2017 (IV);11900
Mar 2017 (I);11500
Mar 2017 (II);11450
Mar 2017 (III);11250
Mar 2017 (IV);11150
Apr 2017 (I);10900
Apr 2017 (II);11050
Apr 2017 (III);10600
Apr 2017 (IV);10500
Mei 2017 (I);10500
Mei 2017 (II);10550
Mei 2017 (III);10700
Mei 2017 (IV);11000
Mei 2017 (V);11000
Jun 2017 (I);11000
Jun 2017 (II);10700
Jun 2017 (III);10500
Jun 2017 (IV);10575
Jul 2017 (I);10650
Jul 2017 (II);10650
Jul 2017 (III);10650
Jul 2017 (IV);10650
Jul 2017 (V);10650
Agu 2017 (I);10650
Agu 2017 (II);10550
Agu 2017 (III);10400
Agu 2017 (IV);10900
Sep 2017 (I);10650
Sep 2017 (II);11050
Sep 2017 (III);11400
Sep 2017 (IV);11150
Okt 2017 (I);10800
Okt 2017 (II);10750
Okt 2017 (III);10750
Okt 2017 (IV);10750
Okt 2017 (V);10700
Nov 2017 (I);10750
Nov 2017 (II);10650
Nov 2017 (III);10500
Nov 2017 (IV);10500
Des 2017 (I);10500
Des 2017 (II);10500
Des 2017 (III);10500
Des 2017 (IV);10500
Jan 2018 (I);10500
Jan 2018 (II);10500
Jan 2018 (III);10500
Jan 2018 (IV);10500
Jan 2018 (V);10500
Feb 2018 (I);10500
Feb 2018 (II);10500
Feb 2018 (III);10500
Feb 2018 (IV);10550
Mar 2018 (I);10750
Mar 2018 (II);10500
Mar 2018 (III);10500
Mar 2018 (IV);10500
Apr 2018 (I);10500
Apr 2018 (II);10500
Apr 2018 (III);10500
Apr 2018 (IV);10500
Apr 2018 (V);10500
Mei 2018 (I);10500
Mei 2018 (II);10350
Mei 2018 (III);10350
Mei 2018 (IV);10500
Jun 2018 (I);10500
Jun 2018 (II);10500
Jun 2018 (III);10500
Jun 2018 (IV);10400
Jul 2018 (I);10250
Jul 2018 (II);10000
Jul 2018 (III);9500
Jul 2018 (IV);9500
Jul 2018 (V);9500
Agu 2018 (I);9500
Agu 2018 (II);9500
Agu 2018 (III);9500
Agu 2018 (IV);9500
Sep 2018 (I);9600
Sep 2018 (II);9750
Sep 2018 (III);9750
Sep 2018 (IV);9650
Okt 2018 (I);9500
Okt 2018 (II);9500
Okt 2018 (III);9500
Okt 2018 (IV);9500
Okt 2018 (V);9500
Nov 2018 (I);9500
Nov 2018 (II);9500
Nov 2018 (III);9500
Nov 2018 (IV);9500
Des 2018 (I);9500
Des 2018 (II);9500
Des 2018 (III);9500
Des 2018 (IV);9500
Des 2018 (V);9500
Jan 2019 (I);9500
Jan 2019 (II);9500
Jan 2019 (III);9500
Jan 2019 (IV);9500
Feb 2019 (I);9500
Feb 2019 (II);9750
Feb 2019 (III);9750
Feb 2019 (IV);9550
Mar 2019 (I);9500
Mar 2019 (II);9500
Mar 2019 (III);9500
Mar 2019 (IV);9500
Apr 2019 (I);9500
Apr 2019 (II);9500
Apr 2019 (III);9500
Apr 2019 (IV);9500
Apr 2019 (V);9500
Mei 2019 (I);9500
Mei 2019 (II);9500
Mei 2019 (III);9500
Mei 2019 (IV);9500
Jun 2019 (I);9500
Jun 2019 (II);9500
Jun 2019 (III);9500
Jun 2019 (IV);9500
Jul 2019 (I);9250
Jul 2019 (II);9250
Jul 2019 (III);9250
Jul 2019 (IV);9250
Jul 2019 (V);9250
Agu 2019 (I);9350
Agu 2019 (II);9500
Agu 2019 (III);9500
Agu 2019 (IV);9500
Sep 2019 (I);9500
Sep 2019 (II);9500
Sep 2019 (III);9500
Sep 2019 (IV);9500
