waktu;beras
Jan 07;4160
Feb 07;4300
Mar 07;3725
Apr 07;3700
Mei 07;3740
Jun 07;4050
Jul 07;3975
Agu 07;4100
Sep 07;4100
Okt 07;4088
Nov 07;4125
Des 07;4713
Jan 08;4860
Feb 08;5600
Mar 08;5250
Apr 08;4550
Mei 08;4370
Jun 08;4450
Jul 08;4550
Agu 08;4500
Sep 08;4600
Okt 08;4760
Nov 08;4650
Des 08;4850
Jan 09;5120
Feb 09;4950
Mar 09;4450
Apr 09;4320
Mei 09;4625
Jun 09;4875
Jul 09;4800
Agu 09;4800
Sep 09;4780
Okt 09;4800
Nov 09;4800
Des 09;4800
Jan 10;5000
Feb 10;5200
Mar 10;5080
Apr 10;5050
Mei 10;5050
Jun 10;5080
Jul 10;5050
Agu 10;5100
Sep 10;5280
Okt 10;5350
Nov 10;5350
Des 10;5560
Jan 11;6179
Feb 11;6217
Mar 11;5900
Apr 11;5858
Mei 11;5567
Jun 11;5842
Jul 11;6333
Agu 11;6583
Sep 11;6667
Okt 11;6667
Nov 11;6883
Des 11;7008
Jan 12;6950
Feb 12;7000
Mar 12;6990
Apr 12;6867
Mei 12;7017
Jun 12;7121
Jul 12;7433
Agu 12;7450
Sep 12;7513
Okt 12;7542
Nov 12;7643
Des 12;7683
Jan 13;8275
Feb 13;8231
Mar 13;8138
Apr 13;7875
Mei 13;7940
Jun 13;8044
Jul 13;8095
Agu 13;8081
Sep 13;8125
Okt 13;8125
Nov 13;8250
Des 13;8450
Jan 14;8144
Feb 14;7956
Mar 14;7922
Apr 14;7711
Mei 14;7711
Jun 14;7940
Jul 14;8040
Agu 14;8100
Sep 14;8250
Okt 14;8320
Nov 14;8280
Des 14;8470
Jan 15;8895
Feb 15;8930
Mar 15;8960
Apr 15;8960
Mei 15;8960
Jun 15;8930
Jul 15;8920
Agu 15;8840
Sep 15;8770
Okt 15;8920
Nov 15;9240
Des 15;9570
Jan 16;9500
Feb 16;10000
Mar 16;11250
Apr 16;10333
Mei 16;10250
Jun 16;10250
Jul 16;10232
Agu 16;10232
Sep 16;10500
Okt 16;11234
Nov 16;10750
Des 16;10879
Jan 17;9700
Feb 17;9580
Mar 17;9300
Apr 17;9060
Mei 17;9060
Jun 17;9220
Jul 17;9220
Agu 17;9380
Sep 17;9340
Okt 17;9380
Nov 17;9400
Des 17;9360
