waktu;Beras;Gula_Pasir;Minyak_Goreng;Garam
Jan-06;4160;5720;4960;150
Feb-06;4300;6025;5000;150
Mar-06;3725;5800;5000;150
Apr-06;3700;5900;4950;150
Mei-06;3740;5880;5000;150
Jun-06;4050;5925;4900;200
Jul-06;3975;5975;4950;175
Agu-06;4100;5950;5700;200
Sep-06;4100;5800;5675;225
Okt-06;4088;5900;5450;238
Nov-06;4125;6025;5850;250
Des-06;4713;6175;6350;250
Jan-07;4860;6220;6920;250
Feb-07;5600;6200;6650;250
Mar-07;5250;6225;6725;275
Apr-07;4550;6200;7650;300
Mei-07;4370;6200;8100;325
Jun-07;4450;6075;8800;350
Jul-07;4550;6100;8433;300
Agu-07;4500;6100;8433;300
Sep-07;4600;5975;9500;300
Okt-07;4760;5980;9500;300
Nov-07;4650;5925;9125;300
Des-07;4850;5800;8825;300
Jan-08;5120;5880;10440;750
Feb-08;4950;5900;10875;750
Mar-08;4450;5900;12250;775
Apr-08;4320;5800;11140;800
Mei-08;4625;5925;11225;800
Jun-08;4875;5900;11125;800
Jul-08;4800;5900;9000;800
Agu-08;4800;5900;8825;800
Sep-08;4780;6080;8150;800
Okt-08;4800;6000;6638;800
Nov-08;4800;6000;6750;800
Des-08;4800;6000;7500;900
Jan-09;5000;6438;7750;1375
Feb-09;5200;6800;8250;1375
Mar-09;5080;7480;8940;1375
Apr-09;5050;7600;9325;1375
Mei-09;5050;8050;10175;1375
Jun-09;5080;8320;9440;1375
Jul-09;5050;8075;8250;1375
Agu-09;5100;8650;8300;1375
Sep-09;5280;9800;8400;1375
Okt-09;5350;9525;8000;1375
Nov-09;5350;9100;7650;1375
Des-09;5560;9800;8000;1375
Jan-10;6179;10917;8400;1250
Feb-10;6217;10500;8133;1250
Mar-10;5900;10550;8567;1250
Apr-10;5858;9950;8400;1250
Mei-10;5567;9950;8333;1250
Jun-10;5842;9950;8333;1250
Jul-10;6333;11217;8167;1250
Agu-10;6583;10950;9267;1250
Sep-10;6667;10950;9100;1250
Okt-10;6667;11250;9333;1250
Nov-10;6883;11183;10000;1250
Des-10;7008;11367;9667;1250
Jan-11;6950;10863;11000;3000
Feb-11;7000;10988;10925;3000
Mar-11;6990;10780;9540;3000
Apr-11;6867;10588;9100;2800
Mei-11;7017;9980;9340;2800
Jun-11;7121;9813;9075;2800
Jul-11;7433;10175;9075;2200
Agu-11;7450;10400;9420;2200
Sep-11;7513;10363;9475;2200
Okt-11;7542;10388;9700;2200
Nov-11;7643;10340;9080;2200
Des-11;7683;10113;9400;2550
Jan-12;8275;10220;10440;2200
Feb-12;8231;10200;10300;2350
Mar-12;8138;10363;10825;2500
Apr-12;7875;10638;11300;2500
Mei-12;7940;11340;10620;2500
Jun-12;8044;12800;9975;2500
Jul-12;8095;13140;10340;2000
Agu-12;8081;12938;10200;2000
Sep-12;8125;12575;10100;2125
Okt-12;8125;12950;9240;2250
Nov-12;8250;12163;8800;2000
Des-12;8450;12100;8550;2000
Jan-13;8144;11000;9700;1750
Feb-13;7956;11000;9367;1750
Mar-13;7922;10800;9000;1750
Apr-13;7711;11250;9000;1750
Mei-13;7711;11250;8833;1750
Jun-13;7940;11250;9167;1750
Jul-13;8040;11100;9167;2000
Agu-13;8100;10850;9167;2000
Sep-13;8250;11000;9333;2000
Okt-13;8320;10550;9500;2000
Nov-13;8280;10300;9933;2000
Des-13;8470;10000;10333;1800
Jan-14;8895;11563;11550;2000
Feb-14;8930;11363;11550;2000
Mar-14;8960;11125;11950;2000
Apr-14;8960;10863;10825;2000
Mei-14;8960;10738;10750;2500
Jun-14;8930;11063;11000;2500
Jul-14;8920;10713;11200;2500
Agu-14;8840;10750;10800;2500
Sep-14;8770;10713;10225;2500
Okt-14;8920;10888;11250;2500
Nov-14;9240;10900;11250;2500
Des-14;9570;11000;10625;2500
Jan-15;9500;9825;10875;2500
Feb-15;10000;9775;10875;2500
Mar-15;11250;10083;10250;2500
Apr-15;10333;12650;11804;2500
Mei-15;10250;12650;11579;2500
Jun-15;10250;11666;11000;2417
Jul-15;10232;12000;11083;2417
Agu-15;10232;11500;10778;2500
Sep-15;10500;11483;10124;2500
Okt-15;11234;11483;10625;2500
Nov-15;10750;11500;10375;2500
Des-15;10879;11926;9766;2500
Jan-16;9700;12000;10500;2500
Feb-16;9580;12970;10670;2500
Mar-16;9300;13270;10500;2500
Apr-16;9060;13180;10850;2500
Mei-16;9060;15030;10835;2500
Jun-16;9220;15800;11500;2500
Jul-16;9220;16000;11500;2500
Agu-16;9380;15800;11500;2500
Sep-16;9340;14850;11500;2500
Okt-16;9380;15100;11500;2500
Nov-16;9400;14680;11500;2500
Des-16;9360;14450;10835;2500
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
