waktu;gula_pasir
Jan 07;5720
Feb 07;6025
Mar 07;5800
Apr 07;5900
Mei 07;5880
Jun 07;5925
Jul 07;5975
Agu 07;5950
Sep 07;5800
Okt 07;5900
Nov 07;6025
Des 07;6175
Jan 08;6220
Feb 08;6200
Mar 08;6225
Apr 08;6200
Mei 08;6200
Jun 08;6075
Jul 08;6100
Agu 08;6100
Sep 08;5975
Okt 08;5980
Nov 08;5925
Des 08;5800
Jan 09;5880
Feb 09;5900
Mar 09;5900
Apr 09;5800
Mei 09;5925
Jun 09;5900
Jul 09;5900
Agu 09;5900
Sep 09;6080
Okt 09;6000
Nov 09;6000
Des 09;6000
Jan 10;6438
Feb 10;6800
Mar 10;7480
Apr 10;7600
Mei 10;8050
Jun 10;8320
Jul 10;8075
Agu 10;8650
Sep 10;9800
Okt 10;9525
Nov 10;9100
Des 10;9800
Jan 11;10917
Feb 11;10500
Mar 11;10550
Apr 11;9950
Mei 11;9950
Jun 11;9950
Jul 11;11217
Agu 11;10950
Sep 11;10950
Okt 11;11250
Nov 11;11183
Des 11;11367
Jan 12;10863
Feb 12;10988
Mar 12;10780
Apr 12;10588
Mei 12;9980
Jun 12;9813
Jul 12;10175
Agu 12;10400
Sep 12;10363
Okt 12;10388
Nov 12;10340
Des 12;10113
Jan 13;10220
Feb 13;10200
Mar 13;10363
Apr 13;10638
Mei 13;11340
Jun 13;12800
Jul 13;13140
Agu 13;12938
Sep 13;12575
Okt 13;12950
Nov 13;12163
Des 13;12100
Jan 14;11000
Feb 14;11000
Mar 14;10800
Apr 14;11250
Mei 14;11250
Jun 14;11250
Jul 14;11100
Agu 14;10850
Sep 14;11000
Okt 14;10550
Nov 14;10300
Des 14;10000
Jan 15;11563
Feb 15;11363
Mar 15;11125
Apr 15;10863
Mei 15;10738
Jun 15;11063
Jul 15;10713
Agu 15;10750
Sep 15;10713
Okt 15;10888
Nov 15;10900
Des 15;11000
Jan 16;9825
Feb 16;9775
Mar 16;10083
Apr 16;12650
Mei 16;12650
Jun 16;11666
Jul 16;12000
Agu 16;11500
Sep 16;11483
Okt 16;11483
Nov 16;11500
Des 16;11926
Jan 17;12000
Feb 17;12970
Mar 17;13270
Apr 17;13180
Mei 17;15030
Jun 17;15800
Jul 17;16000
Agu 17;15800
Sep 17;14850
Okt 17;15100
Nov 17;14680
Des 17;14450
